150, 30, 36.42499305637302, 603, 989, 48, 1725, 0, 1670151215586, 1670151218578, [160, 9, 25], [-1, 0], 20.034727603118338
140, 30, 29.65038369149346, 675, 1226, 13, 2119, 0, 1670151275412, 1670151277732, [150, 11, 26], [-1, 0], 18.901173123894434
150, 20, 42.75242448821516, 490, 900, 13, 1322, 0, 1670151329714, 1670151332422, [140, 11, 25], [1, -1], 15.128371082859879
150, 30, 26.269652874675085, 721, 1562, 36, 2231, 0, 1670151372867, 1670151377862, [150, 12, 25], [0, 1], 18.158078167387096
150, 40, 32.61315726223975, 593, 1080, 25, 1851, 0, 1670151434175, 1670151437927, [150, 13, 25], [0, 1], 27.645210200274935
160, 50, 30.196709912186336, 748, 1436, 45, 2090, 0, 1670151493941, 1670151497468, [150, 11, 25], [1, 1], 28.77575817113852
170, 40, 20.546159281073813, 939, 1832, 36, 3142, 0, 1670151563299, 1670151567039, [160, 11, 25], [1, -1], 19.585096830599564
160, 50, 28.602476367132333, 623, 1134, 45, 2188, 0, 1670151627842, 1670151630921, [170, 13, 25], [-1, 1], 33.90244667803277
160, 40, 36.499915615921964, 516, 946, 22, 1746, 0, 1670151670406, 1670151673743, [160, 12, 25], [0, -1], 30.211495766581365
170, 50, 21.81876487366959, 1024, 1895, 74, 3586, 0, 1670151748819, 1670151751690, [160, 14, 25], [1, 1], 22.496680535031587
160, 60, 37.59389898075363, 637, 1169, 32, 1760, 0, 1670151805362, 1670151807377, [170, 11, 25], [-1, 1], 38.10125708154821
170, 60, 37.46433810031906, 514, 1097, 20, 1657, 0, 1670151860973, 1670151863287, [160, 11, 25], [1, 0], 45.19043118447855
170, 50, 29.636386806368694, 839, 1432, 30, 2067, 0, 1670151907282, 1670151910479, [170, 12, 25], [0, -1], 26.10841862555621
170, 60, 30.669191568161864, 590, 1239, 28, 2005, 0, 1670151950988, 1670151952878, [170, 11, 25], [0, 1], 42.09481972718464
160, 60, 24.14410290899383, 857, 1756, 19, 2516, 0, 1670152017593, 1670152019005, [170, 10, 25], [-1, 0], 31.460509754568466
160, 70, 24.912845148038343, 916, 1597, 75, 2524, 0, 1670152079766, 1670152081904, [160, 11, 25], [0, 1], 34.46064335539426
160, 60, 33.75808159400657, 634, 1276, 30, 1758, 0, 1670152126031, 1670152128196, [160, 9, 25], [0, -1], 39.01006364891245
150, 70, 25.456403406462194, 735, 1696, 47, 2342, 0, 1670152189584, 1670152193331, [160, 10, 25], [-1, 1], 41.824723610394614
160, 60, 35.569329128115875, 532, 1035, 45, 1823, 0, 1670152251117, 1670152252890, [150, 11, 25], [1, -1], 44.492079542535635
