10, 70, 56.408072526256376, 321, 511, 34, 973, 3, 1670161206120, 1670161208923, [10, 14, 30], [0, 0], 64.02841660392103
10, 80, 40.10831600339721, 474, 593, 40, 4799, 3, 1670161297115, 1670161299111, [10, 13, 30], [-1, 1], 63.04839652787065
10, 90, 43.90244118530707, 546, 800, 15, 1187, 0, 1670161352849, 1670161355257, [10, 13, 30], [-1, 1], 62.36057520110908
10, 90, 60.99496770663298, 303, 448, 23, 823, 0, 1670161403064, 1670161407229, [10, 18, 29], [-1, 0], 82.26993789003838
20, 80, 38.35923691388945, 446, 851, 25, 1667, 0, 1670161466216, 1670161468611, [10, 13, 28], [1, -1], 66.72928680229498
20, 80, 30.418788507549408, 784, 1183, 40, 2079, 0, 1670161526942, 1670161530523, [20, 19, 30], [0, 0], 44.165946059138875
20, 80, 36.82293645343589, 389, 739, 29, 1767, 0, 1670161585641, 1670161589220, [20, 11, 30], [0, 0], 74.5862682247811
20, 70, 31.910489565799857, 675, 878, 29, 2276, 0, 1670161649524, 1670161652055, [20, 12, 29], [0, -1], 43.60599348149567
30, 60, 42.028768071311355, 548, 857, 34, 1590, 0, 1670161711242, 1670161713158, [20, 16, 29], [1, -1], 41.89270853393
30, 70, 36.10612017869577, 393, 786, 16, 1704, 0, 1670161750685, 1670161755784, [30, 14, 29], [0, 1], 65.1254292574269
40, 70, 32.50329233718536, 697, 1174, 48, 1945, 0, 1670161809190, 1670161813197, [30, 15, 29], [1, 0], 42.32097056877812
30, 70, 30.271348514900993, 569, 1167, 42, 3129, 0, 1670161890566, 1670161892477, [40, 13, 29], [-1, 0], 50.71836080184734
20, 60, 40.550948154229715, 553, 924, 56, 1759, 0, 1670161950885, 1670161952563, [30, 13, 28], [-1, -1], 41.94608628993772
20, 70, 57.27035006795363, 300, 499, 15, 759, 0, 1670161985582, 1670161988014, [20, 15, 28], [0, 1], 66.1523916395829
20, 60, 28.48572691408193, 662, 1162, 46, 3002, 0, 1670162042810, 1670162045097, [20, 15, 29], [0, -1], 38.662638325559996
10, 60, 49.74511508086623, 367, 567, 34, 1294, 0, 1670162098603, 1670162100064, [20, 15, 28], [-1, 0], 53.005363441088804
10, 60, 62.048896732473025, 306, 512, 18, 792, 0, 1670162132398, 1670162134423, [10, 17, 28], [0, 0], 54.13251333557645
10, 50, 35.654038593490995, 727, 1191, 27, 1659, 0, 1670162190115, 1670162191771, [10, 18, 28], [-1, -1], 28.748315994655687
20, 50, 32.83551248918177, 575, 1012, 36, 2334, 0, 1670162262321, 1670162264583, [10, 17, 29], [1, 0], 35.39361701817354
10, 50, 28.885601846847486, 675, 1018, 24, 2175, 0, 1670162324737, 1670162328638, [20, 20, 32], [-1, 0], 31.62385694477897
20, 40, 24.071500203516745, 779, 1500, 40, 2512, 0, 1670162394452, 1670162399680, [10, 23, 32], [1, -1], 22.849674256641638
30, 50, 27.60334195523317, 946, 1336, 327, 2347, 0, 1670162481290, 1670162484410, [20, 19, 33], [1, 1], 23.6649788439989
30, 60, 31.881707923409202, 588, 1125, 32, 2039, 0, 1670162523842, 1670162579999, [30, 12, 34], [0, 1], 41.927148879924786
30, 60, 49.18208575388187, 485, 735, 93, 1178, 0, 1670162625378, 1670162628377, [30, 22, 33], [0, 0], 44.0057983614108
30, 60, 40.773081615519345, 418, 825, 34, 1509, 0, 1670162677001, 1670162678834, [30, 21, 33], [0, 0], 51.62690786617679
40, 70, 39.80822517771547, 461, 793, 16, 2077, 0, 1670162732174, 1670162761883, [30, 21, 32], [1, 1], 56.43041502617125
50, 70, 29.711563828830748, 661, 1275, 16, 2306, 0, 1670162820208, 1670162824421, [40, 18, 31], [1, 0], 44.880641230812984
60, 60, 16.66351684265493, 820, 1481, 28, 5978, 0, 1670162899699, 1670162921452, [50, 16, 30], [1, -1], 33.83506725341627
50, 70, 26.370671002272548, 623, 1232, 24, 2453, 0, 1670162987715, 1670162990783, [60, 11, 30], [-1, 1], 48.04506787640166
60, 70, 24.304438645466814, 706, 1513, 38, 2677, 0, 1670163050817, 1670163056640, [50, 15, 29], [1, 0], 43.57473400002222
50, 80, 29.1248829218653, 465, 936, 27, 2226, 0, 1670163116266, 1670163119258, [60, 12, 29], [-1, 1], 68.78767362705086
50, 90, 26.806580997440268, 547, 1115, 21, 2353, 0, 1670163164723, 1670163168271, [50, 12, 29], [0, 1], 68.78353614016955
50, 100, 19.09962538118029, 767, 1359, 53, 5797, 11, 1670163243162, 1670163248026, [50, 14, 29], [0, 1], 59.28395640922825
40, 100, 17.526056571861087, 683, 1060, 35, 5957, 0, 1670163322920, 1670163344976, [50, 11, 29], [-1, 0], 66.39187280422462
30, 100, 24.17694738847941, 883, 1487, 75, 2481, 0, 1670163403907, 1670163407980, [40, 11, 28], [-1, 1], 51.03562565606025
30, 100, 16.22187428800107, 774, 1152, 55, 6080, 0, 1670163486540, 1670163488389, [30, 12, 28], [0, 0], 59.602747889017735
20, 100, 29.80698809944238, 572, 1022, 11, 2119, 0, 1670163542531, 1670163546174, [30, 10, 27], [-1, 1], 72.33503770580637
30, 100, 39.447350530758364, 388, 733, 16, 1579, 0, 1670163598038, 1670163602028, [20, 12, 26], [1, 0], 91.61042666916579
30, 100, 38.01329464672263, 483, 916, 29, 1554, 0, 1670163639118, 1670163642484, [30, 12, 26], [0, 0], 78.73356387453904
40, 90, 34.1451479163812, 622, 1136, 32, 1871, 0, 1670163707036, 1670163709624, [30, 14, 26], [1, -1], 59.321317331885425
30, 100, 25.99285975818706, 983, 1389, 42, 2472, 0, 1670163831776, 1670163833642, [40, 13, 26], [-1, 1], 45.999368708797874
30, 100, 36.52537002452855, 542, 855, 31, 1802, 0, 1670163890195, 1670163892765, [30, 10, 26], [0, 1], 72.66370069843572
40, 90, 41.47277379360935, 573, 947, 11, 1622, 0, 1670163943115, 1670163947024, [30, 12, 27], [1, -1], 60.9020737885282
30, 90, 37.35883288580474, 516, 935, 17, 1726, 0, 1670163999245, 1670164002722, [40, 12, 27], [-1, 0], 67.62490337812388
30, 100, 39.19655643981842, 403, 819, 42, 1661, 0, 1670164040769, 1670164045021, [30, 12, 27], [0, 1], 89.31981120503958
