70, 90, 191.6630697315615, 17, 32, 7, 130, 0, 1675812745910, 1675812746950, [80, 6, 6], [-1, 0], 958.3153486578075
80, 90, 190.57217047084671, 14, 24, 7, 51, 0, 1675812785475, 1675812786532, [70, 5, 5], [1, 0], 1191.076065442792
80, 80, 191.11851356731427, 16, 30, 7, 49, 0, 1675812824987, 1675812826040, [80, 4, 5], [0, -1], 1016.587838124012
90, 70, 191.75473044028212, 15, 27, 8, 38, 0, 1675812864455, 1675812865498, [80, 4, 5], [1, -1], 1102.0386806912766
90, 70, 189.95819296180542, 13, 25, 7, 51, 0, 1675812889101, 1675812890141, [90, 4, 5], [0, 0], 1233.494759492243
90, 80, 192.2153255006281, 12, 20, 7, 49, 0, 1675812928568, 1675812929611, [90, 4, 5], [0, 1], 1413.3479816222653
100, 70, 187.94470241353133, 20, 35, 9, 51, 0, 1675812968133, 1675812969310, [90, 4, 5], [1, -1], 817.1508800588318
100, 60, 190.5669798901448, 11, 17, 7, 30, 0, 1675813007708, 1675813009211, [100, 4, 5], [0, -1], 1562.0244253290557
100, 70, 188.8601070920626, 13, 21, 8, 46, 0, 1675813047601, 1675813048952, [100, 4, 5], [0, 1], 1293.5623773428943
90, 70, 179.71707030605802, 20, 35, 8, 133, 0, 1675813087520, 1675813088800, [100, 4, 5], [-1, 0], 781.3785665480783
80, 70, 190.5673259200616, 11, 19, 7, 34, 0, 1675813127224, 1675813128452, [90, 4, 5], [-1, 0], 1512.4390946036633
90, 60, 190.57217047084671, 14, 28, 7, 50, 0, 1675813166911, 1675813167988, [80, 4, 5], [1, -1], 1134.3581575645637
80, 60, 191.75525925108815, 14, 24, 7, 42, 0, 1675813206519, 1675813207565, [90, 4, 5], [-1, 0], 1198.4703703193009
70, 50, 191.47922051733303, 12, 20, 7, 28, 0, 1675813246189, 1675813247235, [80, 3, 5], [-1, -1], 1407.9354449803898
60, 60, 190.02379585396062, 17, 30, 8, 56, 0, 1675813285702, 1675813286756, [70, 4, 5], [-1, 1], 969.5091625202072
60, 50, 188.419688659318, 12, 22, 7, 38, 0, 1675813325370, 1675813326426, [60, 4, 5], [0, -1], 1345.8549189951284
