30, 80, 190.20795346010246, 11, 19, 7, 31, 0, 1675778306609, 1675778307760, [40, 5, 5], [-1, -1], 1509.5869322230353
40, 90, 190.03614749332843, 13, 22, 8, 42, 0, 1675778346286, 1675778347348, [30, 4, 5], [1, 1], 1284.0280236035705
30, 80, 191.66482991697893, 11, 20, 7, 38, 0, 1675778385746, 1675778386795, [40, 4, 5], [-1, -1], 1497.3814837263978
40, 90, 192.49278152069297, 12, 19, 7, 32, 0, 1675778425227, 1675778426268, [30, 4, 5], [1, 1], 1436.5132949305444
30, 90, 191.84691995980876, 13, 23, 7, 33, 0, 1675778465095, 1675778466140, [40, 4, 5], [-1, 0], 1278.979466398725
30, 90, 192.03076917403723, 12, 18, 7, 35, 0, 1675778489525, 1675778490578, [30, 3, 5], [0, 0], 1454.7785543487669
40, 100, 191.57088122605364, 11, 19, 7, 35, 0, 1675778529063, 1675778530124, [30, 4, 5], [1, 1], 1520.403819254394
30, 90, 191.20895793859924, 17, 28, 7, 136, 0, 1675778568703, 1675778569744, [40, 4, 5], [-1, -1], 995.8799892635376
40, 100, 191.38773506809375, 15, 31, 7, 50, 0, 1675778608255, 1675778609295, [30, 4, 5], [1, 1], 1051.580961912603
30, 90, 189.40226188629228, 10, 16, 7, 26, 0, 1675778647782, 1675778648826, [40, 4, 5], [-1, -1], 1691.0916239847527
40, 100, 190.65776930409913, 11, 19, 7, 30, 0, 1675778687253, 1675778688297, [30, 4, 5], [1, 1], 1513.1568992388818
50, 90, 190.58601340185592, 10, 15, 7, 25, 0, 1675778726703, 1675778727774, [40, 3, 5], [1, -1], 1732.6001218350536
50, 100, 191.6630697315615, 12, 19, 7, 33, 0, 1675778766167, 1675778767213, [50, 3, 5], [0, 1], 1430.3214159071752
50, 100, 192.03112323917694, 13, 21, 7, 41, 0, 1675778790604, 1675778791645, [50, 4, 5], [0, 0], 1315.2816660217597
40, 90, 191.571056989637, 10, 15, 7, 28, 0, 1675778830060, 1675778831107, [50, 4, 5], [-1, -1], 1741.5550635421544
50, 80, 192.12295869356387, 12, 22, 7, 38, 0, 1675778869575, 1675778870617, [40, 3, 5], [1, -1], 1372.3068478111702
40, 80, 192.40023691419265, 13, 18, 7, 35, 0, 1675778909026, 1675778910066, [50, 3, 5], [-1, 0], 1374.2874065299475
30, 70, 173.1451887215127, 69, 134, 9, 425, 0, 1675778948793, 1675778949928, [40, 4, 5], [-1, -1], 211.15266917257648
40, 80, 184.33320648037403, 54, 92, 9, 261, 0, 1675778988454, 1675778989508, [30, 4, 5], [1, 1], 299.24221831229545
40, 80, 178.9244114160635, 71, 125, 8, 539, 0, 1675779013498, 1675779014550, [40, 5, 5], [0, 0], 218.73399928614114
50, 80, 182.77856823176558, 62, 125, 10, 316, 0, 1675779053392, 1675779054472, [40, 5, 5], [1, 0], 245.0114855653694
60, 80, 189.93626402764085, 12, 20, 7, 36, 0, 1675779092886, 1675779093949, [50, 5, 5], [1, 0], 1396.5901766738295
60, 90, 179.64780337902062, 22, 44, 8, 154, 0, 1675779132524, 1675779133732, [60, 4, 5], [0, 1], 680.4841037084113
70, 100, 189.0360857023146, 17, 39, 8, 146, 0, 1675779172589, 1675779173649, [60, 4, 5], [1, 1], 883.3461948706289
80, 90, 191.5715842823222, 12, 23, 7, 47, 0, 1675779212186, 1675779213229, [70, 4, 5], [1, -1], 1349.0956639600151
70, 100, 183.39625683537332, 17, 32, 7, 135, 0, 1675779251733, 1675779252989, [80, 3, 5], [-1, 1], 916.9812841768666
60, 100, 187.79607638451114, 10, 14, 7, 26, 0, 1675779291495, 1675779292549, [70, 3, 5], [-1, 1], 1738.8525591158436
60, 90, 191.11362723255053, 21, 41, 7, 147, 0, 1675779330992, 1675779332061, [60, 4, 5], [0, -1], 764.4545089302021
60, 80, 190.56801798366507, 11, 15, 7, 24, 0, 1675779370478, 1675779371531, [60, 4, 5], [0, -1], 1614.983203251399
60, 70, 191.38773506809375, 11, 17, 7, 33, 0, 1675779410018, 1675779411063, [60, 4, 5], [0, -1], 1568.7519267876535
70, 80, 189.76169064343435, 11, 21, 7, 31, 0, 1675779449533, 1675779450582, [60, 3, 5], [1, 1], 1459.7053126418027
60, 90, 191.1143252650764, 11, 19, 7, 30, 0, 1675779489052, 1675779490099, [70, 4, 5], [-1, 1], 1516.7803592466378
60, 80, 191.75473044028212, 19, 34, 7, 48, 0, 1675779528806, 1675779529846, [60, 4, 5], [0, -1], 871.6124110921915
60, 70, 191.571056989637, 9, 13, 6, 20, 0, 1675779568269, 1675779569308, [60, 4, 5], [0, -1], 1954.8067039758873
60, 60, 191.0221417833112, 12, 20, 7, 41, 0, 1675779607740, 1675779608779, [60, 4, 5], [0, -1], 1404.5745719361116
60, 70, 191.571056989637, 10, 14, 7, 34, 0, 1675779647163, 1675779648221, [60, 3, 5], [0, 1], 1773.8060832373794
60, 70, 190.56801798366507, 10, 14, 7, 30, 0, 1675779671630, 1675779672683, [60, 3, 5], [0, 0], 1764.5186850339358
60, 60, 190.7522022464551, 13, 23, 7, 42, 0, 1675779711094, 1675779712138, [60, 4, 5], [0, -1], 1271.6813483097008
60, 50, 191.1143252650764, 10, 14, 7, 21, 0, 1675779750568, 1675779751619, [60, 3, 5], [0, -1], 1769.5770857877442
50, 60, 189.57771787960468, 16, 37, 7, 139, 0, 1675779790167, 1675779791216, [60, 3, 5], [-1, 1], 938.503553859429
40, 60, 191.1143252650764, 9, 11, 7, 22, 0, 1675779829652, 1675779830712, [50, 3, 5], [-1, 0], 2033.131119841238
50, 50, 190.8398684151823, 30, 75, 7, 206, 0, 1675779869159, 1675779870205, [40, 3, 5], [1, -1], 489.33299593636485
40, 50, 186.39345173573474, 30, 53, 9, 154, 0, 1675779909004, 1675779910081, [50, 4, 5], [-1, -1], 538.7093980801583
30, 50, 184.9302770961757, 57, 121, 13, 450, 0, 1675779949026, 1675779950075, [40, 4, 5], [-1, -1], 264.9430903956671
20, 50, 189.8530013353685, 15, 26, 7, 46, 0, 1675779988815, 1675779989858, [30, 5, 5], [-1, 0], 1103.7965193916773
30, 50, 181.2130936308686, 12, 19, 8, 44, 0, 1675780028546, 1675780029616, [20, 4, 5], [1, -1], 1352.3365196333475
40, 60, 189.12736722185758, 23, 38, 7, 161, 0, 1675780068095, 1675780069161, [30, 4, 5], [1, 1], 727.4129508532983
50, 50, 172.08384855443677, 18, 30, 7, 227, 0, 1675780108218, 1675780109301, [40, 3, 5], [1, -1], 843.5482772276313
50, 50, 189.13244099783233, 17, 28, 8, 59, 0, 1675780132976, 1675780134022, [50, 4, 5], [0, 0], 985.06479686371
50, 50, 168.0002257877877, 34, 59, 9, 165, 0, 1675780157883, 1675780159088, [50, 4, 5], [0, 0], 430.7698097122762
60, 50, 168.01824561007348, 37, 78, 10, 117, 0, 1675780198094, 1675780199264, [50, 5, 5], [1, -1], 371.7217823231714
60, 50, 177.7066915924446, 23, 38, 8, 230, 0, 1675780238079, 1675780239204, [60, 4, 5], [0, -1], 683.4872753555561
60, 50, 174.9889770723104, 18, 40, 7, 143, 0, 1675780278287, 1675780279428, [60, 4, 5], [0, -1], 781.2007905013858
70, 50, 186.18200459999446, 13, 24, 7, 48, 0, 1675780318213, 1675780319255, [60, 3, 5], [1, 0], 1224.8816092104898
80, 50, 177.41712142097344, 12, 17, 7, 35, 0, 1675780357923, 1675780359020, [70, 4, 5], [1, 0], 1364.7470878536417
90, 50, 186.32106582245086, 14, 24, 7, 43, 0, 1675780397611, 1675780398677, [80, 4, 5], [1, 0], 1164.506661390318
90, 50, 177.4313604224991, 14, 22, 7, 38, 0, 1675780437324, 1675780438551, [90, 3, 5], [0, -1], 1137.3805155288403
100, 60, 188.59032952181104, 10, 15, 7, 28, 0, 1675780477121, 1675780478181, [90, 3, 5], [1, 1], 1714.4575411073731
90, 50, 189.8530013353685, 22, 45, 7, 147, 0, 1675780516790, 1675780517835, [100, 3, 5], [-1, -1], 713.7330877269492
